date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-03-16T20:19:00Z,Martin Sobisek,Karel Kapras,Martin Sobisek,P1,1.87,25.0,-25.0,LOSS,5122341494971302166
2026-03-16T20:18:00Z,Martin Sobisek,Karel Kapras,Martin Sobisek,P1,1.87,300.0,-300.0,LOSS,3717579325923524912
2026-03-16T20:09:00Z,Martin Sobisek,Karel Kapras,Martin Sobisek,P1,1.87,600.0,0.0,CASHOUT,7484414559621611799
2026-03-16T17:12:00Z,Michal Jezek,Vratislav Petracek,Vratislav Petracek,P2,5.75,50.0,-50.0,LOSS,128529689303187735
2026-03-16T15:42:00Z,Radovan Polasek,Adam Pokorny,Radovan Polasek,P1,1.87,160.0,-160.0,LOSS,987293341983047984
2026-03-15T20:38:00Z,Robin Pacha,Jiri Louda,Jiri Louda,P2,2.15,105.0,120.75,WIN,3559681725904847127
2026-03-15T18:56:00Z,Petr Budinsky,Radim Pavelka,Petr Budinsky,P1,1.65,150.0,96.77,WIN,7695393034728505623
2026-03-15T18:41:00Z,Petr Budinsky,Radim Pavelka,Petr Budinsky,P1,1.65,80.0,51.61,WIN,6402667595857789232
2026-03-15T15:58:00Z,Michal Hrabec,Matej Grundel,Matej Grundel,P2,1.8,60.0,-60.0,LOSS,3008582330282541335
2026-03-14T15:59:00Z,Frantisek Briza,Libor Stacho,Libor Stacho,P2,1.71,50.0,0.0,CASHOUT,1125552531263586609
2026-03-14T12:59:00Z,Marcel Pikous,Michal Regner,Marcel Pikous,P1,1.71,180.0,-180.0,LOSS,878964857712541971
2026-03-14T12:22:00Z,David Szotek,Tomas Dousek,Tomas Dousek,P2,1.53,250.0,131.58,WIN,497424242586026258
2026-03-13T23:38:00Z,Jan Steffan,Petr Picek,Jan Steffan,P1,1.95,280.0,266.67,WIN,5455237192794374449
2026-03-13T20:39:00Z,Michal Vavrecka,Dan Volhejn,Dan Volhejn,P2,2.15,125.0,-125.0,LOSS,3899247921731862803
2026-03-13T19:59:00Z,Michal Zahradka,Dan Volhejn,Dan Volhejn,P2,2.15,15.0,-15.0,LOSS,8229831019285578002
2026-03-13T12:27:00Z,Tadeas Zika,Jan Szotkowski,Tadeas Zika,P1,2.05,350.0,367.5,WIN,1922769681891066131
2026-03-13T12:26:00Z,Denis Hofman,Viktor Vejvoda,Denis Hofman,P1,2.2,600.0,-600.0,LOSS,1482850131815563539
2026-03-13T02:27:00Z,Dmitro Parhomenko,Ondrej Kucirek,Dmitro Parhomenko,P1,1.67,240.0,160.0,WIN,1559088511980798226
2026-03-13T02:25:00Z,Dmitro Parhomenko,Ondrej Kucirek,Dmitro Parhomenko,P1,1.67,240.0,160.0,WIN,1997867868498297106
