date,p1_name,p2_name,pick,side,odds,stake,pnl,result,event_id
2026-03-30T16:00:00Z,"Nguyen, Ba Hoang Tai",,"Nguyen, Ba Hoang Tai",P1,1.87,287.5,250.0,WIN,BO-950694304-1
2026-03-30T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.46,250.0,-250.0,LOSS,BO-950691529-1
2026-03-30T16:00:00Z,"Zientek, Zbynek",,"Zientek, Zbynek",P1,2.7,250.0,-250.0,LOSS,BO-950670315-1
2026-03-29T16:00:00Z,"Petracek, Vratislav",,"Petracek, Vratislav",P1,1.602,100.0,60.24,WIN,BO-950570197-1
2026-03-29T16:00:00Z,"Volhejn, Dan",,"Volhejn, Dan",P1,1.82,100.0,81.97,WIN,BO-950566340-1
2026-03-27T16:00:00Z,"Horak, David",,"Horak, David",P1,1.752,85.0,63.91,WIN,BO-949936761-1
2026-03-27T16:00:00Z,"Barta, Tomas",,"Barta, Tomas",P1,1.667,50.0,-50.0,LOSS,BO-949936378-1
2026-03-27T16:00:00Z,"Tuma, Daniel",,"Tuma, Daniel",P1,1.535,160.0,85.56,WIN,BO-949796416-1
2026-03-27T16:00:00Z,"Polasek, Radovan",,"Polasek, Radovan",P1,2.13,250.0,282.5,WIN,BO-949786043-1
2026-03-27T16:00:00Z,"Polasek, Radovan",,"Polasek, Radovan",P1,2.19,250.0,297.5,WIN,BO-949785872-1
2026-03-27T16:00:00Z,"Darin, Kyryl",,"Darin, Kyryl",P1,2.31,250.0,-250.0,LOSS,BO-949780835-1
2026-03-26T16:00:00Z,"Grundel, Matej",,"Grundel, Matej",P1,2.32,25.0,-25.0,LOSS,BO-949561611-1
2026-03-26T16:00:00Z,"Grundel, Matej",,"Grundel, Matej",P1,2.39,114.0,-114.0,LOSS,BO-949560404-1
2026-03-26T16:00:00Z,"Grundel, Matej",,"Grundel, Matej",P1,2.43,136.0,-136.0,LOSS,BO-949560295-1
2026-03-26T16:00:00Z,"Zika, Tadeas",,"Zika, Tadeas",P1,2.15,110.0,-110.0,LOSS,BO-949553314-1
2026-03-26T16:00:00Z,"Polasek, Radovan",,"Polasek, Radovan",P1,1.752,150.0,-150.0,LOSS,BO-949552985-1
2026-03-26T16:00:00Z,"Pokorny, Adam",,"Pokorny, Adam",P1,2.13,250.0,-250.0,LOSS,BO-949519517-1
